Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
IIT-Library,sub_class,Home_frame,actionlistener,Long Statement,The length of the statement "Download_Without_saving.go("Syllabus.pdf"`"https://drive.google.com/uc?export=download&id=12QNwepr_oyOQUPPQ-Lvs8iRX_pNl-x4n");" is 126.,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 8,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 3,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 7,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 100,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 100,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 600,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 500,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 825,137
IIT-Library,sub_class,Home_frame,actionlistener,Magic Number,The method contains a magic number: 700,137
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 3,142
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 7,142
IIT-Library,sub_class,Home_frame,actionPerformed,Long Statement,The length of the statement "Download_Without_saving.go("Syllabus.pdf"`"https://drive.google.com/uc?export=download&id=12QNwepr_oyOQUPPQ-Lvs8iRX_pNl-x4n");" is 126.,160
IIT-Library,sub_class,Home_frame,run,Long Statement,The length of the statement "Download_Without_saving.go("Syllabus.pdf"`"https://drive.google.com/uc?export=download&id=12QNwepr_oyOQUPPQ-Lvs8iRX_pNl-x4n");" is 126.,164
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 100,191
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 100,191
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 600,191
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 500,191
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 825,211
IIT-Library,sub_class,Home_frame,actionPerformed,Magic Number,The method contains a magic number: 700,211
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 20,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 450,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 50,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 450,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 30,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 600,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 100,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 575,33
IIT-Library,sub_class,Offlinepdf,initcomponent,Magic Number,The method contains a magic number: 440,33
IIT-Library,sub_class,Offlinepdf,ReadRecord,Empty catch clause,The method has an empty catch block.,86
IIT-Library,sub_class,PdfViewer,showpdf,Complex Conditional,The conditional expression pagenumber >= 0 && pagenumber < totalpage && viewtypecounter == 1 is complex.,53
IIT-Library,sub_class,PdfViewer,showpdf,Complex Conditional,The conditional expression pagenumber >= 0 && pagenumber < totalpage - 2 && viewtypecounter == 2 is complex.,53
IIT-Library,sub_class,PdfViewer,showpdf,Complex Conditional,The conditional expression pagenumber > 0 && pagenumber < totalpage && viewtypecounter == 1 is complex.,53
IIT-Library,sub_class,PdfViewer,showpdf,Complex Conditional,The conditional expression pagenumber > 2 && pagenumber2 < totalpage - 1 && viewtypecounter == 2 is complex.,53
IIT-Library,sub_class,PdfViewer,showpdf,Complex Method,Cyclomatic complexity of the method is 9,53
IIT-Library,sub_class,PdfViewer,showpdf,Long Method,The method has 143 lines of code.,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 25,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 25,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 25,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
